iter	Passed	Remaining
871	1983	291
872	1988	289
873	1990	287
874	1994	284
875	1999	282
876	2000	280
877	2001	278
878	2004	275
879	2006	273
880	2009	271
881	2013	269
882	2016	267
883	2017	264
884	2018	262
885	2020	259
886	2021	257
887	2022	255
888	2023	252
889	2025	250
890	2026	247
891	2030	245
892	2033	243
893	2034	241
894	2035	238
895	2037	236
896	2039	234
897	2040	231
898	2042	229
899	2046	227
900	2048	225
901	2050	222
902	2053	220
903	2054	218
904	2057	216
905	2061	213
906	2062	211
907	2063	209
908	2064	206
909	2066	204
910	2068	202
911	2071	199
912	2073	197
913	2074	195
914	2075	192
915	2076	190
916	2079	188
917	2081	185
918	2082	183
919	2085	181
920	2086	178
921	2087	176
922	2088	174
923	2089	171
924	2090	169
925	2091	167
926	2092	164
927	2093	162
928	2096	160
929	2097	157
930	2099	155
931	2100	153
932	2101	150
933	2103	148
934	2104	146
935	2106	144
936	2108	141
937	2110	139
938	2112	137
939	2114	134
940	2115	132
941	2116	130
942	2117	128
943	2118	125
944	2119	123
945	2123	121
946	2127	119
947	2132	116
948	2135	114
949	2136	112
950	2138	110
951	2139	107
952	2140	105
953	2144	103
954	2145	101
955	2147	98
956	2149	96
957	2151	94
958	2152	92
959	2154	89
960	2159	87
961	2161	85
962	2163	83
963	2166	80
964	2168	78
965	2169	76
966	2171	74
967	2172	71
968	2174	69
969	2177	67
970	2178	65
971	2179	62
972	2180	60
973	2181	58
974	2182	55
975	2184	53
976	2186	51
977	2187	49
978	2189	46
979	2190	44
980	2192	42
981	2193	40
982	2195	37
983	2198	35
984	2203	33
985	2205	31
986	2207	29
987	2208	26
988	2211	24
989	2213	22
990	2214	20
991	2215	17
992	2218	15
993	2220	13
994	2222	11
995	2226	8
996	2228	6
997	2230	4
998	2231	2
999	2233	0
